DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
2024-05-15 00:00:00,0.0,0.0,1094.35714285714,282592810.0
2024-05-15 00:15:00,0.0,0.0,0.0,282592810.0
2024-05-15 00:30:00,0.0,0.0,0.0,282592810.0
2024-05-15 00:45:00,0.0,0.0,0.0,282592810.0
2024-05-15 01:00:00,0.0,0.0,0.0,282592810.0
2024-05-15 01:15:00,0.0,0.0,0.0,282592810.0
2024-05-15 01:30:00,0.0,0.0,0.0,282592810.0
2024-05-15 01:45:00,0.0,0.0,0.0,282592810.0
2024-05-15 02:00:00,0.0,0.0,0.0,282592810.0
2024-05-15 02:15:00,0.0,0.0,0.0,282592810.0
2024-05-15 02:30:00,0.0,0.0,0.0,282592810.0
2024-05-15 02:45:00,0.0,0.0,0.0,282592810.0
2024-05-15 03:00:00,0.0,0.0,0.0,282592810.0
2024-05-15 03:15:00,0.0,0.0,0.0,282592810.0
2024-05-15 03:30:00,0.0,0.0,0.0,282592810.0
2024-05-15 03:45:00,0.0,0.0,0.0,282592810.0
2024-05-15 04:00:00,0.0,0.0,0.0,282592810.0
2024-05-15 04:15:00,0.0,0.0,0.0,282592810.0
2024-05-15 04:30:00,0.0,0.0,0.0,282592810.0
2024-05-15 04:45:00,0.0,0.0,0.0,282592810.0
2024-05-15 05:00:00,0.0,0.0,0.0,282592810.0
2024-05-15 05:15:00,0.0,0.0,0.0,282592810.0
2024-05-15 05:30:00,0.0,0.0,0.0,282592810.0
2024-05-15 05:45:00,0.0,0.0,0.0,282592810.0
2024-05-15 06:00:00,15.18,14.6733333333333,1.06666666666667,282592811.066667
2024-05-15 06:15:00,26.4642857142857,25.5642857142857,6.14285714285714,282592816.142857
2024-05-15 06:30:00,58.78,56.9,15.4,282592825.4
2024-05-15 06:45:00,162.3,158.733333333333,40.6666666666667,282592850.666667
2024-05-15 07:00:00,310.453333333333,304.993333333333,99.6666666666667,282592909.666667
2024-05-15 07:15:00,380.886666666667,374.313333333333,185.466666666667,282592995.466667
2024-05-15 07:30:00,461.407142857143,452.757142857143,286.857142857143,282593096.857143
2024-05-15 07:45:00,551.693333333333,540.726666666667,408.8,282593218.8
2024-05-15 08:00:00,564.7,553.433333333333,548.8,282593358.8
2024-05-15 08:15:00,643.713333333333,630.593333333333,696.333333333333,282593506.333333
2024-05-15 08:30:00,735.026666666667,719.693333333333,868.933333333333,282593678.933333
2024-05-15 08:45:00,805.535714285714,788.471428571429,1053.57142857143,282593863.571429
2024-05-15 09:00:00,847.286666666667,829.126666666667,1249.86666666667,282594059.866667
2024-05-15 09:15:00,916.2,896.233333333333,1470.2,282594280.2
2024-05-15 09:30:00,989.426666666667,967.493333333333,1703.66666666667,282594513.666667
2024-05-15 09:45:00,1040.47857142857,1017.14285714286,1950.78571428571,282594760.785714
2024-05-15 10:00:00,1077.67333333333,1053.3,2200.46666666667,282595010.466667
2024-05-15 10:15:00,1141.3,1114.44666666667,2475.46666666667,282595285.466667
2024-05-15 10:30:00,1183.12666666667,1153.55333333333,2765.2,282595575.2
2024-05-15 10:45:00,1232.19333333333,1201.38,3059.53333333333,282595869.533333
2024-05-15 11:00:00,1246.3,1215.12142857143,3360.71428571429,282596170.714286
2024-05-15 11:15:00,1251.74,1220.44666666667,3655.93333333333,282596465.933333
2024-05-15 11:30:00,1271.62666666667,1239.85333333333,3970.26666666667,282596780.266667
2024-05-15 11:45:00,1236.95333333333,1206.04,4280.8,282597090.8
2024-05-15 12:00:00,1227.60666666667,1196.91333333333,4582.06666666667,282597392.066667
2024-05-15 12:15:00,1266.03571428571,1234.37857142857,4883.85714285714,282597693.857143
2024-05-15 12:30:00,1249.35333333333,1218.10666666667,5180.33333333333,282597990.333333
2024-05-15 12:45:00,1272.23333333333,1240.44666666667,5494.86666666667,282598304.866667
2024-05-15 13:00:00,1222.4,1192.0,5802.66666666667,282598612.666667
2024-05-15 13:15:00,1198.94,1169.74666666667,6101.73333333333,282598911.733333
2024-05-15 13:30:00,1197.71428571429,1168.10714285714,6389.0,282599199.0
2024-05-15 13:45:00,1181.96,1152.90666666667,6672.06666666667,282599482.066667
2024-05-15 14:00:00,1141.61333333333,1114.75333333333,6962.73333333333,282599772.733333
2024-05-15 14:15:00,1133.56,1107.22,7243.2,282600053.2
2024-05-15 14:30:00,936.286666666667,915.713333333333,7509.0,282600319.0
2024-05-15 14:45:00,979.764285714286,958.107142857143,7728.0,282600538.0
2024-05-15 15:00:00,924.966666666667,904.76,7956.53333333333,282600766.533333
2024-05-15 15:15:00,861.82,843.28,8185.26666666667,282600995.266667
2024-05-15 15:30:00,467.36,457.84,8362.93333333333,282601172.933333
2024-05-15 15:45:00,729.28,714.093333333333,8495.33333333333,282601305.333333
2024-05-15 16:00:00,653.907142857143,640.55,8663.64285714286,282601473.642857
2024-05-15 16:15:00,475.34,466.2,8798.66666666667,282601608.666667
2024-05-15 16:30:00,429.766666666667,422.053333333333,8907.13333333333,282601717.133333
2024-05-15 16:45:00,438.96,431.02,9019.4,282601829.4
2024-05-15 17:00:00,296.085714285714,290.721428571429,9110.07142857143,282601920.071429
2024-05-15 17:15:00,195.24,191.373333333333,9166.6,282601976.6
2024-05-15 17:30:00,92.3066666666667,89.7333333333333,9205.26666666667,282602015.266667
2024-05-15 17:45:00,38.0266666666667,36.7466666666667,9219.06666666667,282602029.066667
2024-05-15 18:00:00,24.7266666666667,23.8733333333333,9226.8,282602036.8
2024-05-15 18:15:00,15.5571428571429,15.0071428571429,9231.57142857143,282602041.571429
2024-05-15 18:30:00,3.06666666666667,2.97333333333333,9233.86666666667,282602043.866667
2024-05-15 18:45:00,0.0,0.0,9234.0,282602044.0
2024-05-15 19:00:00,0.0,0.0,9234.0,282602044.0
2024-05-15 19:15:00,0.0,0.0,9234.0,282602044.0
2024-05-15 19:30:00,0.0,0.0,9234.0,282602044.0
2024-05-15 19:45:00,0.0,0.0,9234.0,282602044.0
2024-05-15 20:00:00,0.0,0.0,9234.0,282602044.0
2024-05-15 20:15:00,0.0,0.0,9234.0,282602044.0
2024-05-15 20:30:00,0.0,0.0,9234.0,282602044.0
2024-05-15 20:45:00,0.0,0.0,9234.0,282602044.0
2024-05-15 21:00:00,0.0,0.0,9234.0,282602044.0
2024-05-15 21:15:00,0.0,0.0,9234.0,282602044.0
2024-05-15 21:30:00,0.0,0.0,9234.0,282602044.0
2024-05-15 21:45:00,0.0,0.0,9234.0,282602044.0
2024-05-15 22:00:00,0.0,0.0,9234.0,282602044.0
